id,quizId,questionText,answerA,answerB,answerC,answerD,correctAnswer
1,1,Evidence worker best red.,option,big,avoid,car,4
31,2,Fight usually experience activity.,candidate,fine,attorney,someone,2
61,3,Minute executive avoid.,blue,expert,conference,water,4
91,4,Exactly early live enough between contain boy.,onto,suffer,in,market,2
121,5,Project their call popular.,site,service,each,plan,1
151,6,Suggest conference democratic whole or.,real,religious,five,career,4
181,7,Hit south technology and capital or single.,discussion,similar,allow,career,3
211,8,Necessary cold list beat run prevent bank certainly.,easy,impact,company,effort,2
241,9,Already on opportunity happen relate summer million.,point,investment,almost,house,2
271,10,Early box owner summer catch include score.,authority,today,view,people,4
301,11,Least save take car cup kid approach.,statement,light,miss,cell,1
331,12,Rate front Congress arrive investment student.,policy,continue,cause,machine,3
361,13,Least walk television run realize.,third,dark,region,remember,2
391,14,Source people meet beyond never.,send,cultural,stand,out,2
421,15,Keep art onto from special man.,main,should,card,campaign,1
451,16,Worry everyone full join.,campaign,bank,concern,either,4
481,17,Main seem let force strategy ability.,state,east,TV,or,2
511,18,Too TV board catch approach amount audience.,general,break,into,cultural,4
571,20,Cold positive fact far.,by,alone,nor,skin,3
601,21,Miss huge recognize certain.,us,weight,standard,item,1
631,22,Go series fly once wrong difference task.,agree,pass,process,property,4
661,23,Much even year positive animal remember number.,research,part,society,game,2
691,24,Room approach skill appear.,such,sell,would,away,4
781,27,Final manage personal model visit yes need seem.,face,country,give,resource,3
811,28,Win position very loss occur reduce.,after,sing,religious,medical,1
841,29,Keep green staff author meet party himself.,author,decide,keep,could,2
871,30,Memory figure let.,meet,past,art,low,1
901,31,Style campaign about forget center claim able.,old,while,poor,item,1
931,32,Research system board.,enter,expect,feeling,participant,4
961,33,Serious might bank say.,guy,operation,lay,think,1
991,34,Set top back.,decide,guy,mention,million,4
1081,37,East all certainly least she personal available.,kitchen,beautiful,finish,according,2
1111,38,Face happen opportunity baby decision.,brother,concern,others,almost,4
1141,39,May small big participant.,growth,so,heart,two,1
1171,40,Score rule west place wide part adult.,man,like,young,mention,2
1201,41,Popular experience learn thousand.,suggest,success,however,every,2
1231,42,Practice how include.,each,pretty,future,minute,4
1291,44,Get pay coach director western former.,free,ago,fine,few,2
1321,45,Money myself above look debate.,street,within,future,situation,4
1351,46,Fact be individual responsibility purpose thing too.,war,physical,eat,always,2
1381,47,Note myself buy rather surface work total.,quickly,how,heart,entire,2
1411,48,Herself line may such old yet.,consider,day,knowledge,upon,1
1441,49,Once deal see necessary.,focus,similar,remain,one,1
1501,51,Because likely major.,family,since,place,cost,2
1531,52,Care development of office father change store newspaper.,another,college,include,class,2
1561,53,Recently rule area message.,manage,force,media,name,3
1591,54,Recent us project source.,including,training,wall,future,4
1621,55,May training leg.,gas,option,determine,on,2
1651,56,Realize analysis share develop effort.,use,box,take,music,3
1771,60,Possible still between indicate.,service,year,book,partner,4
1801,61,Value along simply return.,eight,artist,store,ability,1
1831,62,Half about together allow.,major,could,edge,truth,3
1861,63,Sometimes animal all onto.,bag,writer,health,girl,4
1951,66,Throw entire citizen early structure friend.,job,media,I,inside,2
2011,68,Least street education drive keep environment.,kind,training,than,baby,3
2041,69,Republican parent might might close.,care,them,however,senior,2
2071,70,Of think benefit network.,whether,involve,million,officer,1
2101,71,Main dog resource every year little.,join,western,art,single,3
2131,72,Case end than already enjoy source action.,fly,material,idea,describe,1
2161,73,Involve above training development win the.,candidate,state,mind,including,3
