id,courseId
1,32
2,8
3,81
4,119
5,162
6,107
7,53
8,108
9,142
10,65
11,71
12,200
13,116
14,93
15,95
16,21
17,136
18,166
20,173
21,188
22,39
23,54
24,140
27,190
28,113
29,10
30,155
31,127
32,20
33,1
34,182
37,35
38,9
39,111
40,69
41,23
42,101
44,168
45,161
46,92
47,49
48,110
49,105
51,84
52,114
53,192
54,90
55,19
56,149
60,44
61,194
62,115
63,165
66,133
68,131
69,38
70,109
71,178
72,57
73,148
74,176
75,7
77,82
78,25
79,58
80,187
81,177
82,73
83,123
84,164
85,125
87,61
88,112
90,170
93,169
96,120
97,184
102,198
103,145
104,43
105,99
106,88
107,146
110,137
111,185
112,5
113,56
114,132
115,78
117,97
120,174
121,70
123,103
124,151
127,100
131,160
134,6
135,183
136,74
137,197
140,28
142,26
149,181
151,29
152,50
153,157
154,34
155,196
156,199
159,156
162,86
166,129
168,87
169,17
172,126
173,62
181,59
183,138
184,11
185,36
188,171
190,13
191,79
194,139
196,117
199,124
