id,userId,learningMaterialId,completed,completedAt
1,4286,3083,False,
2,2685,2342,True,2024-02-05 21:06:41
3,3172,2827,True,2024-08-10 09:18:05
4,5986,541,True,2024-03-20 03:45:24
5,8911,2719,True,2024-05-08 16:01:25
6,5391,452,True,2024-07-04 01:26:26
7,942,2015,True,2024-06-07 02:55:42
8,624,1723,True,2024-05-25 13:14:30
9,3216,534,False,
10,984,2519,True,2024-03-03 04:17:09
11,6022,4955,True,2024-01-24 13:36:07
12,3440,162,False,
13,1059,1842,True,2024-03-15 11:35:53
14,6267,4629,True,2024-05-05 17:05:22
15,6684,1508,True,2024-10-06 23:35:47
16,1360,4158,False,
17,3789,120,True,2024-06-21 16:54:37
18,9154,2419,True,2024-03-11 06:01:03
19,9371,2361,False,
20,787,1347,True,2024-02-26 13:53:25
21,4721,945,True,2024-02-20 04:08:21
22,4949,4312,False,
23,542,951,True,2024-02-26 06:32:26
24,5872,96,True,2024-07-03 01:41:14
25,1217,3028,True,2024-03-07 07:47:24
26,9377,163,True,2024-05-09 21:49:39
27,8441,3998,True,2024-09-19 18:41:12
28,1411,3803,True,2024-09-30 08:15:27
29,3180,3029,True,2024-09-15 05:37:35
30,2391,4967,True,2024-04-14 03:56:42
31,4272,1434,True,2024-08-31 10:18:09
32,6605,2662,False,
33,2741,3573,False,
34,8984,4149,True,2024-01-17 07:28:00
35,5563,2954,True,2024-05-19 08:46:43
36,5156,3319,False,
37,343,3222,True,2024-09-08 17:12:44
38,454,1723,False,
39,1635,4187,True,2024-03-14 18:17:08
40,7444,1821,True,2024-05-07 02:01:55
41,6199,1593,False,
42,4150,3303,False,
43,7633,1792,True,2024-06-28 23:04:11
44,8396,3981,True,2024-07-05 07:59:10
45,8069,2054,True,2024-07-02 15:47:14
46,3777,2679,False,
47,6100,2910,False,
48,6684,319,True,2024-06-17 06:20:38
49,9045,624,False,
50,5174,4961,True,2024-04-14 03:38:17
51,5909,58,False,
52,5040,1152,True,2024-05-07 11:54:40
53,4022,2231,True,2024-05-07 08:18:23
54,9678,108,True,2024-02-12 00:12:03
55,9739,3428,True,2024-07-05 07:06:29
56,418,2326,True,2024-03-24 01:57:26
57,9024,2094,True,2024-01-31 12:17:58
58,721,777,False,
59,5305,1121,True,2024-09-09 23:24:08
60,9657,2851,False,
61,5100,2664,True,2024-05-12 09:03:42
62,802,760,True,2024-05-10 16:07:30
63,5750,2856,False,
64,9395,36,False,
65,1298,666,True,2024-06-11 04:37:11
66,8282,186,True,2024-09-26 06:19:31
67,453,1117,False,
68,4494,3179,False,
69,336,985,True,2024-06-19 00:18:45
70,4886,745,True,2024-07-20 09:57:34
71,9615,3848,True,2024-02-10 01:34:30
72,5241,3433,True,2024-09-23 11:48:55
73,1855,2177,True,2024-09-20 15:49:38
74,9781,2217,True,2024-09-07 04:02:48
75,6896,1408,True,2024-09-30 23:34:11
76,7661,2778,False,
77,3612,4687,False,
78,1088,716,True,2024-10-03 23:04:39
79,1126,2317,False,
80,1998,570,False,
81,2636,4628,True,2024-04-23 07:42:52
82,9913,973,False,
83,4078,726,True,2024-10-01 01:10:40
84,153,3362,False,
85,2677,2096,False,
86,9997,3311,False,
87,6545,1961,True,2024-04-29 06:25:28
88,2619,3407,True,2024-08-14 15:36:48
89,2955,1283,False,
90,7384,518,True,2024-08-24 05:04:15
91,996,4761,False,
92,2151,1098,False,
93,2155,1708,False,
94,8514,2817,False,
95,1888,4026,True,2024-03-28 10:43:10
96,2763,2472,True,2024-08-02 19:41:22
97,4252,2164,False,
98,9138,2399,True,2024-08-28 21:46:27
99,2025,1639,False,
100,3289,893,True,2024-09-11 11:59:41
101,6021,1743,True,2024-04-14 20:51:15
102,2619,3669,False,
103,7054,3826,True,2024-10-02 17:19:13
104,4465,4990,True,2024-02-09 14:58:49
105,3199,3677,False,
106,680,1255,True,2024-06-05 17:01:13
107,4327,1505,True,2024-05-15 21:08:22
108,9644,4847,True,2024-09-02 23:14:46
109,8063,4280,True,2024-03-28 04:18:29
110,1677,704,False,
111,8675,1061,True,2024-09-28 16:17:27
112,1503,2427,False,
113,7438,2015,False,
114,3895,2458,False,
115,2485,4064,True,2024-07-15 15:49:24
116,8180,2509,True,2024-01-05 18:56:12
117,8763,4026,False,
118,6531,4395,False,
119,163,2671,True,2024-07-01 04:58:50
120,3479,3583,True,2024-03-30 06:31:25
121,9264,4453,True,2024-04-10 16:26:14
122,9095,2517,False,
123,4530,2109,False,
124,4727,627,False,
125,3277,4382,True,2024-07-16 21:28:22
126,6361,1339,True,2024-06-23 00:11:12
127,5534,1985,False,
128,1771,3573,True,2024-03-13 19:43:21
129,963,1404,False,
130,2480,3193,False,
131,2747,2233,False,
132,2361,4768,False,
133,6854,95,False,
134,5272,256,False,
135,7259,4281,True,2024-02-19 14:38:07
136,6791,4418,True,2024-08-04 19:39:24
137,457,438,False,
138,395,4893,False,
139,4510,4348,False,
140,9074,4559,True,2024-04-05 21:39:42
141,3314,508,True,2024-05-23 04:04:26
142,3457,315,False,
143,1435,3555,True,2024-01-13 04:52:36
144,9317,163,True,2024-06-05 23:25:57
145,3329,4521,True,2024-05-11 06:09:46
146,932,3497,True,2024-08-02 09:23:59
147,4951,4367,False,
148,5852,3479,True,2024-02-10 11:03:03
149,3582,1102,False,
150,3991,4886,True,2024-08-18 02:50:32
151,208,3828,True,2024-02-21 20:31:59
152,7216,3115,False,
153,1969,275,True,2024-09-30 05:31:12
154,2384,4015,False,
155,1524,1970,True,2024-04-05 19:45:37
156,6160,3901,True,2024-03-10 04:55:07
157,447,2541,False,
158,2773,4332,False,
159,3459,2845,False,
160,2274,3696,False,
161,8447,4770,False,
162,8187,2671,False,
163,1682,137,False,
164,7761,3588,True,2024-01-26 09:34:31
165,1225,1362,True,2024-09-27 16:23:50
166,4328,1796,False,
167,1492,4714,False,
168,9674,2236,False,
169,1437,2640,False,
170,6533,4834,False,
171,1549,3347,True,2024-04-15 05:48:30
172,3607,1602,True,2024-05-25 08:48:40
173,6178,2363,True,2024-01-29 15:28:26
174,6196,1789,True,2024-01-22 15:31:10
175,7258,2679,True,2024-04-18 19:55:07
176,4456,2973,False,
177,6957,2702,False,
178,5532,3315,True,2024-05-05 12:01:04
179,7478,158,False,
180,5812,2001,False,
181,6192,1561,True,2024-07-06 14:59:16
182,2008,4504,True,2024-03-17 13:31:39
183,5527,32,True,2024-05-07 04:03:12
184,1275,2462,True,2024-09-29 22:41:06
185,9123,388,True,2024-08-07 22:37:03
186,446,4361,True,2024-03-01 15:56:55
187,7892,4965,False,
188,1559,1695,True,2024-02-22 15:41:18
189,1583,2127,False,
190,2485,3124,True,2024-06-01 04:31:38
191,8459,1399,True,2024-02-25 03:55:36
192,7583,436,True,2024-02-05 11:59:32
193,4584,3485,True,2024-09-10 10:03:02
194,3703,3332,True,2024-03-21 12:21:28
195,936,603,True,2024-07-25 10:57:49
196,7708,3722,True,2024-03-19 08:40:05
197,4284,603,True,2024-07-21 20:13:21
198,5323,274,True,2024-07-03 21:25:41
199,5097,871,False,
200,5504,1274,True,2024-03-08 04:02:52
201,5574,4494,True,2024-02-07 10:57:06
202,9541,3921,True,2024-04-17 08:52:24
203,239,537,False,
204,9926,2825,False,
205,239,1164,False,
206,4040,2376,True,2024-04-19 11:21:54
207,7273,893,False,
208,7229,628,False,
209,3661,2489,True,2024-04-07 23:50:29
210,9979,2216,True,2024-02-07 11:19:13
211,7650,2852,True,2024-06-20 21:45:27
212,5417,1168,False,
213,4241,1556,True,2024-03-05 04:07:03
214,7061,177,False,
215,3546,1322,True,2024-06-26 00:33:38
216,2610,1600,False,
217,6155,1687,False,
218,3997,4504,True,2024-04-03 03:54:21
219,4249,1745,False,
220,7110,2767,False,
221,2484,624,False,
222,103,1508,True,2024-01-12 04:59:49
223,7835,2292,False,
224,461,3339,True,2024-08-29 18:42:46
225,5958,2283,False,
226,6354,3807,False,
227,3509,103,False,
228,7866,83,True,2024-06-29 11:56:51
229,7891,3378,True,2024-05-03 04:40:11
230,7906,3674,True,2024-08-16 22:51:44
231,5318,875,True,2024-08-23 15:04:43
232,4842,4328,True,2024-04-30 05:00:30
233,9161,4327,False,
234,9149,520,True,2024-05-14 19:33:03
235,5892,679,False,
236,604,216,True,2024-09-25 16:46:42
237,6347,2983,False,
238,7618,2434,True,2024-05-05 16:51:13
239,1814,2372,False,
240,924,4137,True,2024-02-15 12:49:17
241,1952,3440,False,
242,7514,4259,True,2024-03-30 06:32:43
243,5526,455,False,
244,6107,2608,True,2024-05-09 05:02:06
245,4768,3622,True,2024-09-17 23:12:05
246,4418,2541,True,2024-10-14 07:10:36
247,9920,3821,True,2024-05-11 17:23:04
248,8870,3136,True,2024-04-05 02:53:39
249,6618,4642,True,2024-07-22 02:32:08
250,8471,623,True,2024-02-07 20:31:07
251,929,1261,False,
252,5641,4849,True,2024-01-22 13:11:36
253,7411,744,True,2024-09-11 19:03:10
254,455,465,False,
255,5701,3074,False,
256,5130,3991,False,
257,1498,1388,False,
258,1234,409,False,
259,7869,646,False,
260,7712,3895,True,2024-02-25 03:10:59
261,8303,1569,True,2024-09-23 03:26:22
262,7892,3259,False,
263,4144,1101,True,2024-07-09 21:36:49
264,6188,4690,False,
265,5649,2273,False,
266,2484,2896,False,
267,5159,490,True,2024-08-28 10:09:15
268,265,3530,True,2024-03-31 18:17:58
269,366,2443,True,2024-01-04 14:46:53
270,586,4730,True,2024-02-12 23:12:04
271,3413,4684,False,
272,1879,2718,True,2024-07-30 13:26:07
273,4905,46,False,
274,874,4202,True,2024-05-03 17:20:57
275,4705,2790,True,2024-08-29 00:01:06
276,7942,3263,True,2024-06-19 14:56:24
277,3917,4892,False,
278,6304,2424,False,
279,4820,1408,False,
280,2658,3357,False,
281,9402,612,False,
282,8220,3998,True,2024-07-29 17:51:48
283,6217,2402,False,
284,8753,138,False,
285,8261,3994,True,2024-03-07 12:34:57
286,859,2375,True,2024-08-08 21:56:40
287,5978,2838,True,2024-07-23 13:26:24
288,6015,1596,True,2024-04-08 19:07:30
289,7120,1174,False,
290,7560,788,False,
291,1275,3599,True,2024-09-27 15:46:25
292,6015,130,True,2024-06-26 10:23:49
293,1865,2405,False,
294,639,2127,True,2024-05-08 10:00:49
295,2741,2168,False,
296,7336,1115,True,2024-02-21 04:53:12
297,322,330,False,
298,7356,2357,True,2024-03-29 01:16:55
299,3074,83,False,
300,2770,1913,True,2024-04-28 20:04:29
301,791,2066,False,
302,6427,685,True,2024-03-11 23:52:42
303,2481,3400,False,
304,4307,2484,True,2024-10-08 10:26:07
305,8332,369,True,2024-09-22 00:57:37
306,4243,3526,True,2024-07-29 09:59:06
307,6490,4026,False,
308,8819,4365,False,
309,821,4305,False,
310,3851,3730,False,
311,8219,232,True,2024-09-23 03:34:14
312,3612,4887,True,2024-08-13 12:02:38
313,9075,3082,True,2024-08-12 14:16:46
314,4100,1495,False,
315,2847,4465,False,
316,6589,772,False,
317,1279,4837,True,2024-06-06 08:35:18
318,4988,1152,False,
319,3391,4338,False,
320,1436,4934,False,
321,5457,3218,True,2024-09-04 18:16:21
322,8039,3023,True,2024-02-19 16:40:05
323,9159,4882,False,
324,9167,549,False,
325,2685,3942,True,2024-05-23 14:07:44
326,3905,4609,True,2024-10-04 01:18:11
327,4933,4372,True,2024-06-09 14:38:55
328,5724,3524,True,2024-06-16 02:45:27
329,4424,4041,False,
330,6986,4396,True,2024-06-13 03:08:24
331,8011,3024,True,2024-09-07 13:15:54
332,8220,2206,True,2024-08-26 01:34:46
333,3768,4830,True,2024-02-03 05:34:07
334,1796,105,False,
335,3011,1582,False,
336,2985,1798,True,2024-09-24 06:11:43
337,1126,3127,True,2024-03-14 09:11:37
338,3922,648,True,2024-02-25 04:47:54
339,5432,4392,True,2024-04-04 19:10:36
340,7516,2547,True,2024-07-09 23:16:26
341,2253,4730,True,2024-02-27 11:59:44
342,7242,3051,False,
343,2252,4699,False,
344,5159,3602,True,2024-05-20 04:31:48
345,9059,1,False,
346,870,1642,False,
347,2985,3469,False,
348,2346,3343,True,2024-09-04 13:05:53
349,8076,4940,False,
350,142,2808,False,
351,164,4284,False,
352,9466,4194,False,
353,684,2447,True,2024-03-02 01:51:22
354,4555,3536,False,
355,1886,656,True,2024-02-04 12:53:30
356,4894,3830,True,2024-06-26 22:32:46
357,7326,3477,True,2024-05-19 10:22:36
358,3713,840,False,
359,197,2688,True,2024-05-17 11:11:07
360,8453,747,False,
361,5458,3750,True,2024-04-28 19:32:27
362,6081,1285,True,2024-06-15 12:53:49
363,4593,2771,True,2024-05-23 23:21:17
364,3116,1308,False,
365,217,1411,True,2024-02-14 11:46:45
366,6110,4905,False,
367,5768,3857,False,
368,2857,1770,True,2024-06-08 19:50:51
369,2675,3963,False,
370,9155,377,True,2024-05-21 21:45:35
371,7734,1364,True,2024-04-21 21:33:41
372,6823,1495,False,
373,3762,1251,False,
374,6760,3056,False,
375,6966,1962,False,
376,9160,1294,True,2024-03-20 07:32:34
377,2173,1715,False,
378,3654,2398,False,
379,801,1344,True,2024-07-27 17:16:42
380,1070,2027,False,
381,863,3599,True,2024-09-19 21:20:51
382,8147,1526,False,
383,9641,1013,False,
384,7008,3827,False,
385,4437,4651,False,
386,17,1713,True,2024-07-13 07:26:59
387,9792,4414,True,2024-06-14 04:29:57
388,2417,937,True,2024-06-07 19:58:58
389,3977,673,False,
390,7292,4044,True,2024-02-14 00:05:44
391,4026,2260,True,2024-04-11 12:47:18
392,4059,1503,True,2024-06-24 15:08:03
393,4962,1425,False,
394,9721,3147,True,2024-10-07 18:48:04
395,6807,3127,False,
396,1135,1118,False,
397,9093,2898,True,2024-08-07 17:11:52
398,3014,1132,True,2024-06-15 02:13:42
399,181,3887,False,
400,6249,1620,False,
401,8250,1608,True,2024-08-30 08:11:49
402,3070,3441,False,
403,9372,805,False,
404,2880,4617,False,
405,5057,1362,True,2024-10-11 23:19:57
406,2965,4340,True,2024-07-16 20:31:29
407,4651,4495,False,
408,2157,2609,True,2024-04-28 12:04:22
409,5679,3141,False,
410,2327,3913,True,2024-07-01 19:37:31
411,1807,2541,False,
412,824,3239,False,
413,187,2352,True,2024-04-05 00:53:57
414,8180,2242,False,
415,6302,428,False,
416,1368,4964,True,2024-05-31 03:30:38
417,3454,4515,False,
418,6269,1507,True,2024-06-15 18:24:28
419,3309,1062,True,2024-06-24 16:30:25
420,5276,1188,True,2024-05-14 06:38:30
421,4778,4639,True,2024-04-19 23:59:20
422,1060,1660,False,
423,4241,2475,True,2024-02-19 17:48:28
424,9321,3042,True,2024-06-05 17:12:14
425,2493,2834,True,2024-08-29 02:12:56
426,1588,1398,True,2024-06-02 23:39:54
