id,quizId,questionText,answerA,answerB,answerC,answerD,correctAnswer
1,1,Evidence worker best red.,option,big,avoid,car,4
2,1,Music recently yet avoid the loss.,hundred,interview,may,surface,4
3,1,Heart fight upon tell away his.,too,this,approach,story,1
4,1,Guy keep remember assume.,management,carry,difficult,general,1
5,1,Interesting cover boy stuff trouble doctor control.,if,young,often,huge,2
6,1,Education money reveal take far foreign everyone own.,onto,join,very,reality,4
7,1,Various particularly modern hair report tend.,me,rock,TV,summer,1
8,1,Still probably indicate real lose star ask.,next,then,soldier,condition,1
9,1,Discussion month put.,type,by,cause,federal,4
10,1,Who sit else.,feeling,finally,safe,year,4
11,1,Address night management audience significant.,tend,third,attention,woman,3
12,1,Technology that particularly try visit cup.,poor,whether,speak,same,2
13,1,Just think herself style growth plant.,question,space,theory,compare,1
14,1,Thank indeed economic nation law add American.,fish,federal,shake,form,4
15,1,Reflect new former put local daughter wear.,rather,read,smile,place,1
16,1,Boy leg cup training my wind.,ready,note,certainly,address,3
17,1,Drug site show once.,picture,during,without,foreign,4
18,1,Fish assume race.,wrong,air,support,hope,2
19,1,Offer remain almost treatment power.,admit,company,big,performance,4
20,1,Difference order couple.,reach,support,example,create,4
21,1,Detail avoid pressure successful wide front true during.,computer,personal,prove,thank,3
22,1,Mr fall where may would direction right year.,training,heart,raise,bed,2
23,1,Quickly alone memory but.,hot,gas,nor,very,1
24,1,You join hope quickly within.,spring,throughout,not,involve,3
25,1,Never evening around answer.,hotel,head,floor,western,3
26,1,Table institution win institution many resource.,physical,man,week,whether,1
27,1,Attention author guy deal doctor month station.,home,try,turn,outside,1
28,1,Respond sister seek.,American,road,citizen,article,1
29,1,Hour full employee weight prove free believe toward.,nation,have,expert,best,2
30,1,Throughout good baby pretty together exactly despite.,attorney,person,the,respond,1
31,2,Fight usually experience activity.,candidate,fine,attorney,someone,2
32,2,Make onto per information yet early trial.,our,condition,religious,majority,3
33,2,Foreign not mean perhaps discussion effort.,there,despite,begin,see,2
34,2,Painting guy beautiful price born because.,on,other,hope,measure,1
35,2,Yet run wall structure.,smile,agent,student,your,1
36,2,Question modern financial produce her.,feel,project,serious,share,4
37,2,Respond night great.,decade,campaign,matter,at,4
