id,courseId
1,32
2,8
3,81
4,119
5,162
6,107
7,53
8,108
9,142
10,65
11,71
12,200
13,116
14,93
15,95
16,21
17,136
18,166
19,200
20,173
21,188
22,39
23,54
24,140
25,8
26,116
27,190
28,113
29,10
30,155
31,127
32,20
33,1
34,182
35,200
36,54
37,35
38,9
39,111
40,69
41,23
42,101
43,1
44,168
45,161
46,92
47,49
48,110
49,105
50,119
51,84
52,114
53,192
54,90
55,19
56,149
57,192
58,162
59,8
60,44
61,194
62,115
63,165
64,84
65,194
66,133
67,8
68,131
69,38
70,109
71,178
72,57
73,148
74,176
75,7
76,149
77,82
78,25
79,58
80,187
81,177
82,73
83,123
84,164
85,125
86,165
87,61
88,112
89,25
90,170
91,1
92,39
93,169
94,192
95,25
96,120
97,184
98,111
99,113
100,35
101,140
102,198
103,145
104,43
105,99
106,88
107,146
108,8
109,7
110,137
111,185
112,5
113,56
114,132
115,78
116,120
117,97
118,114
119,20
120,174
121,70
122,112
123,103
124,151
125,185
126,133
127,100
128,164
129,125
130,173
131,160
132,9
133,92
134,6
135,183
136,74
137,197
138,177
139,173
140,28
141,32
142,26
143,137
144,177
145,174
146,187
147,194
148,39
149,181
150,43
151,29
152,50
153,157
154,34
155,196
156,199
157,99
158,54
159,156
160,71
161,105
162,86
163,35
164,137
165,176
166,129
167,71
168,87
169,17
170,90
171,108
172,126
173,62
174,17
175,101
176,73
177,120
178,105
179,58
180,62
181,59
182,88
183,138
184,11
185,36
186,181
187,168
188,171
189,168
190,13
191,79
192,56
193,111
194,139
195,110
196,117
197,136
198,19
199,124
200,200
