id,userId,quizId,score,totalScore
1,6214,164,68,100
2,248,33,9,100
3,8121,70,97,100
4,3374,193,46,100
5,9238,181,65,100
6,9483,190,76,100
7,9934,9,26,100
8,3446,153,13,100
9,5305,193,75,100
10,2462,7,42,100
11,2149,65,69,100
12,2909,167,60,100
13,9252,107,93,100
14,2388,112,8,100
15,6029,135,64,100
16,924,13,43,100
17,3513,58,84,100
18,8222,34,8,100
19,5968,151,38,100
20,6668,32,13,100
21,3652,71,79,100
22,9191,45,7,100
23,8389,112,96,100
24,5796,181,3,100
25,7880,147,72,100
26,8992,139,33,100
27,1941,192,32,100
28,9580,54,53,100
29,5206,68,74,100
30,1130,36,17,100
31,2978,39,83,100
32,3257,12,19,100
33,4480,45,47,100
34,1036,154,76,100
35,6527,131,7,100
36,874,46,76,100
37,2879,167,54,100
38,7934,192,95,100
39,5125,53,29,100
40,916,179,32,100
41,286,84,74,100
42,4459,13,68,100
43,8390,96,38,100
44,599,23,28,100
45,7326,127,65,100
46,3822,156,6,100
47,6326,63,53,100
48,9073,41,25,100
49,5037,128,99,100
50,212,194,78,100
51,2004,25,99,100
52,843,89,10,100
53,363,148,4,100
54,7789,22,22,100
55,3270,146,40,100
56,7438,184,7,100
57,2480,160,61,100
58,9272,157,57,100
59,5408,120,42,100
60,1522,197,59,100
61,5033,123,94,100
62,4868,170,92,100
63,7325,21,17,100
64,4189,97,92,100
65,6565,50,77,100
66,1960,4,93,100
67,3922,134,66,100
68,9403,53,97,100
69,3150,92,23,100
70,1894,8,94,100
71,4293,198,7,100
72,5088,175,64,100
73,7882,164,12,100
74,5262,168,99,100
75,4214,57,68,100
76,2483,189,46,100
77,4672,130,2,100
78,3746,87,46,100
79,1995,104,45,100
80,4116,34,89,100
81,2710,168,67,100
82,7712,98,68,100
83,3964,61,60,100
84,8224,51,0,100
85,4123,81,44,100
86,9031,9,4,100
87,1621,159,27,100
88,4605,126,91,100
89,6582,198,72,100
90,6630,130,80,100
91,567,25,28,100
92,9823,79,56,100
93,9400,111,32,100
94,2451,28,98,100
95,8376,141,90,100
96,9354,32,60,100
97,8660,139,13,100
98,84,62,47,100
99,4993,103,30,100
100,8435,59,100,100
101,535,21,51,100
102,5504,91,57,100
103,214,97,93,100
104,8222,91,46,100
105,1,96,58,100
106,4981,134,48,100
107,8458,120,83,100
108,4329,20,37,100
109,7563,75,6,100
110,8397,11,67,100
111,851,5,8,100
112,2487,148,95,100
113,7022,59,95,100
114,6095,158,42,100
115,5406,5,92,100
116,117,110,47,100
117,7049,115,82,100
118,8131,3,100,100
119,7654,45,73,100
120,320,178,48,100
121,2786,57,95,100
122,537,14,99,100
123,2719,169,44,100
124,2900,165,34,100
125,6966,50,10,100
126,2874,79,31,100
127,2151,141,55,100
128,5396,182,29,100
129,1007,130,64,100
130,8408,26,51,100
131,7841,11,63,100
132,9216,48,63,100
133,720,61,52,100
134,3539,143,30,100
135,1935,52,93,100
136,793,4,100,100
137,8615,187,44,100
138,5970,170,33,100
139,1244,66,70,100
140,3036,55,79,100
141,6751,117,29,100
142,9472,104,36,100
