teamId,completion_rate,id,name,departmentId
1,49.399519615692554,1,Frontend,1
2,50.877192982456144,2,Backend,1
3,48.49683544303797,3,Full Stack,1
4,50.46082949308756,4,QA,2
5,48.537549407114625,5,Automation,2
6,50.193348801237434,6,Performance,2
7,51.049475262368816,7,Cloud,3
8,49.87854251012146,8,Infrastructure,3
9,49.887471867966994,9,Security,3
10,50.14727540500736,10,Product Design,4
11,51.382488479262676,11,Product Analysis,4
12,51.42405063291139,12,Recruitment,5
13,51.98204936424832,13,Training,5
14,50.90909090909091,14,Inside Sales,6
15,51.50316455696202,15,Field Sales,6
16,47.28867623604466,16,Content Marketing,7
17,49.446202531645575,17,SEO,7
18,49.28945400149588,18,Technical Support,8
19,50.93795093795094,19,Customer Success,8
20,49.12146676852559,20,Help Desk,9
21,50.59259259259259,21,Network Administration,9
22,50.11952191235059,22,Innovation,10
23,53.82736156351792,23,Prototyping,10
