teamId,user_count,id,name,departmentId
1,436,1,Frontend,1
2,404,2,Backend,1
3,424,3,Full Stack,1
4,422,4,QA,2
5,426,5,Automation,2
6,424,6,Performance,2
7,449,7,Cloud,3
8,406,8,Infrastructure,3
9,459,9,Security,3
10,462,10,Product Design,4
11,454,11,Product Analysis,4
12,432,12,Recruitment,5
13,446,13,Training,5
14,443,14,Inside Sales,6
15,429,15,Field Sales,6
16,414,16,Content Marketing,7
17,438,17,SEO,7
18,448,18,Technical Support,8
19,465,19,Customer Success,8
20,434,20,Help Desk,9
21,460,21,Network Administration,9
22,404,22,Innovation,10
23,421,23,Prototyping,10
