id,quizId,questionText,answerA,answerB,answerC,answerD,correctAnswer
1,1,Different work local pattern.,gas,cause,customer,that,4
2,1,Keep board say goal staff far.,real,note,threat,mother,2
3,1,Lot since friend future data hard whom.,government,today,surface,author,1
4,1,True avoid Mr mouth like indicate wall already.,do,organization,drop,finally,2
5,1,Discussion Mr later receive tax word treatment claim.,while,rise,teach,budget,1
6,1,Lose thousand play product.,wear,particular,age,plan,3
7,1,Something long wide method personal fine.,much,store,would,better,1
8,1,Member low woman force recognize.,race,occur,price,development,2
9,1,Individual plant himself walk understand.,phone,box,down,apply,1
10,1,Sister administration serve positive commercial themselves look.,beat,set,chair,page,2
11,1,Need color energy camera only level enough.,yes,church,energy,instead,2
12,1,Similar minute others address.,again,month,decade,attention,4
13,1,Per social fund why newspaper this ball.,bill,standard,party,street,1
14,1,Else blood different will keep.,six,often,live,hope,2
15,1,Natural guy adult yet standard war information.,more,glass,early,beautiful,1
16,1,Itself recent serve share help ahead.,rise,dog,himself,decision,2
17,1,Past town drive over send occur end.,what,your,material,foreign,3
18,1,Spring store way interview yard century role.,do,training,while,born,3
19,1,People service visit and baby water.,price,record,defense,build,2
20,1,There particular realize record case run deep.,such,course,administration,fund,1
21,1,Weight husband minute learn church organization.,give,from,factor,establish,4
22,1,Practice hundred young guess account.,specific,there,although,article,3
23,1,Of serve author owner.,ready,century,face,dog,2
24,1,Second turn task throw.,Congress,magazine,dream,agree,3
25,1,Political adult necessary safe home industry history science.,maybe,help,watch,if,3
26,1,Realize under notice care local.,century,political,board,national,2
27,1,Others factor heart offer try western.,choice,clear,still,main,3
28,1,Able view research billion pass federal.,experience,bed,first,debate,2
29,1,Agreement and authority task especially.,enter,clearly,change,especially,4
30,1,Contain trial couple ready.,Democrat,over,similar,town,4
31,2,Born standard key who tough main.,over,good,especially,realize,4
32,2,Box piece wish mention allow drive.,truth,thus,American,prevent,4
33,2,Tend dinner specific change.,ok,total,item,east,1
34,2,Involve seven offer remember high also.,goal,himself,rich,debate,3
35,2,Pretty hit according who any among indeed individual.,nor,within,stage,there,4
36,2,One candidate these table rule early read appear.,left,produce,view,listen,3
37,2,Father everyone thought.,city,land,assume,prove,4
38,2,Practice one area clearly help under.,woman,behavior,ready,set,2
39,2,Soon total discuss today notice figure put.,eat,skin,worry,high,1
40,2,Whom single special myself my.,sell,significant,local,trouble,1
41,2,Discover simple become be affect.,Republican,term,short,contain,4
42,2,Second top relationship.,environmental,great,popular,baby,4
43,2,Of hit kid dinner according professor space book.,avoid,suddenly,resource,here,2
44,2,Its table woman education financial door.,expect,rather,American,view,4
45,2,No respond identify laugh.,claim,join,international,everything,4
46,2,Any movie blood.,season,fly,onto,ever,1
47,2,Bank would collection it table senior heavy.,practice,hotel,hotel,half,4
48,2,Record surface nearly fact view leave I at.,art,show,opportunity,only,3
49,2,Future while according.,number,may,if,cell,1
50,2,Site hour condition not agree.,short,owner,size,ability,2
51,2,Play bill bring rock our then probably.,change,pass,dinner,sometimes,4
52,2,Likely may then big without green.,up,improve,direction,area,4
53,2,Clear staff difficult experience say board.,war,pay,according,ability,4
54,2,Project mother case campaign use parent.,under,who,join,tend,1
55,2,Fight anything open avoid when recognize.,quite,mouth,president,property,4
56,2,Military new trade believe travel benefit scientist place.,view,attention,thought,political,4
57,2,Note pressure president state financial.,foreign,speak,understand,environment,4
58,2,Foot loss give material under your.,material,away,produce,garden,1
59,2,Avoid another magazine view measure.,generation,call,enough,important,2
60,2,Campaign hotel media stay over or line.,network,story,white,why,1
61,3,Take leave point test other expect manage glass.,week,approach,offer,describe,3
62,3,The down raise need answer just.,floor,blood,discuss,address,4
63,3,Vote increase those expect story around.,top,father,school,benefit,4
64,3,Organization guess beyond present happy upon past.,over,try,dinner,player,4
65,3,Especially movie another increase say.,blue,other,house,technology,1
66,3,Fish clear former popular side consider important.,catch,fast,share,toward,2
67,3,Everybody compare position degree activity American.,employee,performance,middle,send,4
68,3,Describe behavior benefit song investment current.,design,eye,work,much,3
69,3,Pressure student wall go degree.,artist,national,evidence,clearly,2
70,3,Although human lose into.,down,movie,age,Mrs,4
71,3,Able scientist section book wind inside late talk.,might,gun,phone,record,3
72,3,Computer know care music face character.,simple,life,more,player,1
73,3,Clear common green parent thousand.,his,carry,how,others,1
74,3,Hospital become month bad teach long.,picture,learn,last,security,2
75,3,More health feeling couple same.,old,very,fund,leader,2
76,3,Field discuss party general appear accept.,them,quickly,experience,bank,2
77,3,Account decade control hundred.,attack,first,score,account,2
78,3,Stock foreign you friend special home.,very,no,game,church,1
79,3,Floor return it reason upon.,chair,new,hair,during,1
80,3,Wide enjoy show.,politics,science,lose,bring,1
81,3,Even forward else knowledge member.,amount,oil,happen,new,3
