id,userId,quizId,score,totalScore
1,5922,163,92,100
2,8178,158,9,100
3,6486,168,50,100
4,9576,23,35,100
5,5187,7,9,100
6,8678,76,15,100
7,6690,31,26,100
8,4589,39,8,100
9,789,168,25,100
10,5127,117,82,100
11,4448,188,90,100
12,8470,31,53,100
13,8546,156,30,100
14,8184,186,47,100
15,952,143,81,100
16,8507,159,35,100
17,2967,43,76,100
18,3904,139,71,100
19,549,184,94,100
20,2933,88,41,100
21,1674,123,21,100
22,2228,154,48,100
23,9560,102,87,100
24,7358,87,2,100
25,8731,128,96,100
26,3049,17,5,100
27,9018,130,11,100
28,6073,90,50,100
29,5167,28,7,100
30,1926,107,96,100
31,4584,143,2,100
32,2732,62,78,100
33,2264,121,86,100
34,5243,69,86,100
35,5452,39,34,100
36,6822,34,69,100
37,8138,111,9,100
38,2879,19,69,100
39,9902,136,7,100
40,9192,45,97,100
41,3409,32,57,100
42,3273,68,82,100
43,9811,93,3,100
44,4855,120,78,100
45,2682,138,78,100
46,5166,63,66,100
47,2271,5,69,100
48,2308,175,17,100
49,322,109,96,100
50,5308,168,33,100
51,8868,135,62,100
52,6921,29,4,100
53,9957,82,70,100
54,1255,135,13,100
55,3328,154,9,100
56,3695,67,39,100
57,1234,162,55,100
58,970,122,66,100
59,3743,58,34,100
60,6251,7,70,100
61,5797,37,79,100
62,5790,12,73,100
63,8829,70,35,100
64,503,105,81,100
65,3265,12,1,100
66,5039,14,35,100
67,3540,46,89,100
68,2379,114,29,100
69,1678,17,52,100
70,241,197,88,100
71,8747,140,1,100
72,498,37,49,100
73,6186,147,8,100
74,3304,197,44,100
75,3664,11,54,100
76,2264,4,28,100
77,794,128,95,100
78,8644,21,73,100
79,2330,175,96,100
80,9855,193,86,100
81,5981,51,66,100
82,9058,16,95,100
83,7997,133,16,100
84,7443,69,46,100
85,4956,88,0,100
86,5313,189,10,100
87,4049,8,89,100
88,262,156,16,100
89,5762,197,4,100
90,7502,57,23,100
91,5781,70,42,100
92,9005,171,14,100
93,7738,20,59,100
94,6842,167,44,100
95,5276,149,4,100
96,2496,184,62,100
97,2942,41,54,100
98,7548,180,63,100
99,8151,48,65,100
100,5068,136,31,100
101,3479,127,34,100
102,9636,157,10,100
103,2410,103,48,100
104,433,60,24,100
105,1879,171,61,100
106,2947,54,27,100
107,7751,131,14,100
108,1838,155,57,100
109,9833,108,96,100
110,4040,169,97,100
111,4322,192,20,100
112,9376,104,35,100
113,5356,87,30,100
114,6992,52,6,100
115,6770,149,17,100
116,2743,38,86,100
117,7154,158,8,100
118,9760,12,18,100
119,774,21,2,100
120,4275,25,40,100
121,6704,199,20,100
122,8827,65,0,100
123,9349,118,28,100
124,6123,179,100,100
125,3805,51,6,100
126,2896,193,0,100
127,6206,109,49,100
128,3190,84,66,100
129,3657,175,75,100
130,4540,180,30,100
131,2618,156,84,100
132,5036,179,61,100
133,8205,27,32,100
134,5550,21,34,100
135,6735,20,65,100
136,917,95,7,100
137,7083,32,25,100
138,3463,127,96,100
139,9867,187,85,100
140,3725,172,31,100
141,2774,173,56,100
142,2945,89,60,100
143,7649,51,17,100
144,2022,167,82,100
145,4976,150,30,100
146,3566,189,57,100
147,8142,72,76,100
148,1417,66,53,100
149,7639,13,64,100
150,6217,93,14,100
151,3531,38,17,100
152,1947,162,79,100
153,7502,193,17,100
154,1255,180,27,100
155,6371,157,19,100
156,5546,177,25,100
157,7121,168,67,100
158,8169,196,2,100
159,6055,92,87,100
160,3589,32,70,100
161,1909,141,13,100
162,6617,80,68,100
163,5655,90,60,100
164,8284,27,72,100
165,2336,34,24,100
166,8847,43,74,100
167,5732,44,66,100
168,2355,100,9,100
169,2006,10,96,100
170,5090,102,77,100
171,5652,58,29,100
172,3325,27,66,100
173,8591,61,78,100
174,4444,166,78,100
175,7349,40,56,100
176,5021,93,34,100
177,1806,64,52,100
178,4760,78,93,100
179,7877,158,60,100
180,198,68,3,100
181,4957,192,72,100
182,5002,46,64,100
183,5862,87,29,100
184,9764,32,31,100
185,5386,200,78,100
186,5011,150,2,100
187,4399,66,96,100
188,1088,158,14,100
189,7938,175,75,100
190,9132,158,94,100
191,2995,111,96,100
192,8196,45,34,100
193,694,114,39,100
194,7672,161,60,100
195,6464,77,35,100
196,1741,198,16,100
197,6104,131,97,100
198,109,137,70,100
199,5798,173,12,100
200,7154,14,26,100
201,9082,163,39,100
202,7879,4,92,100
203,5984,47,63,100
204,665,160,100,100
205,3717,3,1,100
206,684,189,70,100
207,3758,129,49,100
208,9439,32,69,100
209,9148,9,38,100
210,7562,2,2,100
211,4238,172,52,100
212,3303,74,50,100
213,2841,3,75,100
214,2837,58,0,100
215,3935,112,20,100
216,5833,28,97,100
217,5716,138,75,100
218,9631,80,40,100
219,304,98,37,100
220,3001,174,91,100
221,2089,34,18,100
222,8654,14,32,100
223,6059,9,88,100
224,5861,119,38,100
225,5500,70,87,100
226,2035,107,73,100
227,7863,113,64,100
228,648,32,78,100
229,9273,94,96,100
230,9860,35,55,100
231,3070,77,45,100
232,9182,18,68,100
233,6422,81,43,100
234,9090,135,29,100
235,7782,178,49,100
236,7009,146,40,100
237,5161,157,59,100
238,5342,155,33,100
239,2261,200,18,100
240,9337,163,1,100
241,9002,69,46,100
242,7973,57,44,100
243,3111,145,79,100
244,9021,122,72,100
245,1300,119,36,100
246,7637,137,41,100
247,3534,194,48,100
248,5201,51,72,100
249,5530,176,24,100
250,2957,11,62,100
251,7082,168,95,100
252,8075,176,37,100
253,5473,97,9,100
254,9742,123,44,100
255,819,197,27,100
256,6239,125,7,100
257,7132,180,54,100
258,8121,199,10,100
259,5943,136,77,100
260,4981,194,35,100
261,6451,176,54,100
262,4506,4,55,100
263,8631,102,40,100
264,345,18,53,100
265,5982,93,37,100
266,6269,143,64,100
267,6418,158,40,100
268,7619,138,16,100
269,7212,181,10,100
