id,userId,duration
1,6567,635
2,1541,2673
3,2534,1283
4,7994,3146
5,5043,1184
6,4847,648
7,9349,1929
8,2545,68
9,4350,3243
10,8634,2406
11,5430,1769
12,5314,879
13,8859,1988
14,1275,3252
15,4226,2244
16,6513,3130
17,1312,390
18,5278,1229
19,5270,2525
20,4635,2330
21,7286,1826
22,3918,756
23,4488,2501
24,8245,2976
25,9844,1607
26,3035,594
27,5944,2006
28,2842,752
29,4021,2185
30,4299,613
31,4688,623
32,1309,1519
33,7934,1511
34,9250,95
35,7909,1432
36,9986,3594
37,1982,2409
38,6805,1780
39,5322,3214
40,2683,2870
41,498,2057
42,6586,748
43,9193,1913
44,7253,2640
45,622,208
46,6498,2913
47,1789,2979
48,7818,1846
49,8436,1652
50,6981,2696
51,5996,1233
52,2011,2459
53,1051,2238
54,7941,1668
55,8977,1189
56,1028,2935
57,2524,1680
58,2907,405
59,11,2057
60,9620,488
61,2905,2330
62,9233,2817
63,1172,2006
64,5560,3367
65,4662,2421
66,3413,3281
67,3274,1342
68,8035,2140
69,3225,934
70,9630,644
71,3526,1288
72,1778,3385
73,3041,1478
74,3806,2939
75,821,654
76,7427,1964
77,7459,3499
78,7031,2009
79,7665,1730
80,2966,1090
81,3833,1330
82,5668,2166
83,2085,2268
84,6919,1667
85,379,848
86,3492,1176
87,3623,179
88,9027,2628
89,122,1573
90,3552,125
91,3991,2850
92,8619,89
93,5939,2936
94,2344,108
95,6682,2807
96,7382,2193
97,4026,2717
98,3240,3367
99,3176,3504
100,5514,1789
101,1008,755
102,2995,3186
103,5175,1115
104,5984,1858
105,6829,1377
106,9538,1501
107,7168,2322
108,3856,2749
109,6920,2432
110,7598,3068
111,2520,974
112,8312,365
113,5414,1360
114,9033,1367
115,8484,3350
116,2171,1268
117,5338,2626
118,411,2783
119,3702,782
120,2222,1721
121,2479,39
122,1374,77
123,2580,1507
124,101,460
125,2529,1270
126,7186,2410
127,3312,2640
128,9010,2636
129,7512,541
130,2313,28
131,9518,328
132,2084,3247
133,8737,3228
134,2271,1748
135,9609,3176
136,157,3083
137,253,1607
138,7788,161
139,3806,226
140,4932,671
141,7138,3492
142,8428,2786
143,7499,1830
144,8565,2141
145,2311,3141
146,9360,2769
147,3940,2731
148,5319,183
149,3520,3393
150,8301,1449
151,1056,3177
152,1772,2534
153,2509,114
154,5971,1721
155,6972,3395
156,116,3593
157,9965,1090
158,1189,877
159,7446,1605
160,6543,2729
161,435,602
162,2722,2326
163,1676,2131
164,6455,2895
165,5939,1326
166,14,1179
167,4848,684
168,7015,3388
169,9510,1031
170,2275,2721
171,9734,2095
172,3248,2852
173,1563,57
174,6127,286
175,9271,2955
176,2371,1720
177,5997,254
178,1034,2777
179,1306,1834
180,266,2720
181,6430,860
182,6304,2441
183,1793,1953
184,36,1524
185,4377,3257
186,6689,1123
187,5123,1919
188,778,1568
189,1609,204
190,3180,3079
191,9290,2341
192,830,1745
193,1373,739
194,6790,1821
195,8135,3056
196,904,457
197,8017,1666
198,1414,3437
199,662,2230
200,3365,1224
201,7882,3563
202,2168,2080
203,2803,1067
204,982,1645
205,9718,885
206,7144,1044
207,9660,2072
208,4208,2213
209,1315,1638
210,6514,2073
211,7370,1441
212,3635,3360
213,8231,867
214,1954,424
215,4423,1787
216,3739,2671
217,3979,1342
218,6605,409
219,5187,3310
220,7058,2848
221,2531,2024
222,9373,1217
223,2517,2625
224,4866,1169
225,904,1622
226,8232,1357
227,569,1638
228,2555,2303
229,7070,1725
230,6369,2556
231,1655,1015
232,5073,423
233,4646,3341
234,8207,1790
235,2958,2216
236,4203,2042
237,2361,3302
238,557,1893
239,8076,2805
240,3623,1382
241,1678,80
242,5209,2674
243,5184,2552
244,6863,2204
245,4963,430
246,8406,2992
247,1899,3343
248,7703,209
249,8034,142
250,9083,1209
251,3118,916
252,3489,1753
253,3530,1888
254,3686,2346
255,5687,3354
256,6450,2778
257,9777,3072
258,7556,2105
259,6268,693
260,9344,1833
261,6709,1335
262,3338,3305
263,6960,1059
264,393,1170
265,6528,769
266,7844,103
267,296,1917
268,7408,239
269,6084,1694
270,479,1453
271,7786,801
272,6480,2957
273,8011,3430
274,8285,1223
275,9935,882
276,7563,2367
277,8965,3447
278,7668,1345
279,4514,3572
280,6753,2334
281,7760,1007
282,9914,1264
283,4148,3115
284,5874,601
285,6639,110
286,6178,1320
287,6789,2817
288,4176,2477
289,9962,3511
290,4994,37
291,1798,609
292,5160,3256
293,5213,3355
294,9689,1313
295,3012,2941
296,8302,554
297,4882,351
298,5493,2251
299,6934,3408
300,4387,1410
301,9367,1243
302,1005,518
303,8081,1590
304,3763,2054
305,6512,229
306,8409,1560
307,6305,1314
308,6633,2530
309,7164,1656
310,9949,3511
311,4811,1499
312,7006,973
313,7338,1869
314,7455,1084
315,3979,2185
316,1244,1953
317,5138,2833
318,2603,1529
319,1424,3462
320,4025,2478
321,1855,2552
322,2489,3236
323,9717,1887
324,1357,3269
325,59,3304
326,7011,3216
327,5688,6
328,9248,2467
329,2507,861
330,3062,3475
331,8877,1807
332,4182,1459
333,6084,174
334,2589,1280
335,466,3094
336,42,1409
337,3366,2288
338,9567,1112
339,8485,2186
340,463,2613
341,7536,1402
342,1507,1563
343,726,1542
344,8048,1083
345,7024,231
346,6076,3020
347,9237,1265
348,9380,2855
349,6501,3133
350,9867,1562
351,1103,925
352,3476,2875
353,4595,2519
354,7343,1054
355,1196,977
356,1598,232
357,364,734
358,8513,1494
359,83,2392
360,8683,1418
361,2858,3349
362,6394,3189
363,9915,2209
364,4783,1270
365,6536,1795
366,9280,2213
367,8214,1030
368,3785,2305
369,4076,16
370,6231,870
371,6313,796
372,3935,914
373,5237,3430
374,8193,2931
375,7252,1376
376,327,1386
377,7509,3271
378,7303,908
379,5263,1143
380,6458,1199
381,72,2151
382,9115,915
383,6928,66
384,3610,2438
385,333,431
386,8761,1440
387,2010,1364
388,6620,367
389,2150,2686
390,930,1522
391,7389,921
392,8529,3546
393,2581,272
394,6096,34
395,5195,348
396,3623,3413
397,2608,541
398,9095,2159
399,1661,388
400,6494,3454
401,7613,156
402,4120,2656
403,6712,455
404,7898,3567
405,7282,727
406,4662,123
407,3533,228
408,7212,3205
409,2433,2807
410,6293,3049
411,627,3478
412,2696,2743
413,1058,3314
414,1138,2285
415,2526,587
416,6531,456
417,2314,2676
418,9165,464
419,9140,3282
420,3649,211
421,1619,1242
422,5006,982
423,4562,1956
424,7558,3
425,4308,440
426,5268,2870
427,9690,2450
428,2691,1401
429,3990,1194
430,386,2483
431,6018,2727
432,5674,711
433,7278,1830
434,4915,60
435,1078,1762
436,3631,596
437,2337,2321
438,1969,2934
439,9935,1474
440,9933,3486
441,3072,1889
442,8185,3429
443,4802,1072
444,5944,471
445,6925,200
446,5341,1680
447,9516,2239
448,1990,1833
449,8695,18
450,5482,1903
451,2296,1207
452,8151,3552
453,9690,3071
454,5297,762
455,2998,3557
456,246,2101
457,5200,66
458,1249,2177
459,1815,1540
460,8606,1165
461,8499,3418
462,5104,2169
463,8607,2943
464,3290,1767
465,2687,2968
466,4408,688
467,1050,776
468,4991,1393
469,8591,3151
470,8140,649
471,2353,626
472,5412,2972
473,9075,3429
474,7557,633
475,6985,3102
476,8438,1206
477,5108,2482
478,560,13
479,2873,1959
480,9050,1927
481,4706,113
482,3180,3570
483,4436,227
484,7661,3260
485,8385,3465
486,9289,1331
487,7487,2497
488,3746,2419
489,3816,577
490,8214,1048
491,6408,2296
492,538,2060
493,902,3408
494,8255,1652
495,815,2982
496,1670,2421
497,8446,1283
498,3759,1356
499,5340,494
500,2578,3179
501,6997,240
502,5863,1055
503,1769,1685
504,1796,5
505,2239,1704
506,7959,2579
507,3130,131
508,4989,2412
509,5335,3582
510,7743,1561
511,5746,166
512,6159,3447
513,262,1126
514,4883,2836
515,3859,2767
516,2798,957
517,9731,649
518,3964,2237
519,2939,3048
520,5924,3335
521,6429,1844
522,6878,1289
523,832,1364
524,5091,1363
525,7876,3563
526,4591,490
527,5826,2770
528,2184,430
529,8691,2150
530,3415,2156
531,429,3226
532,4280,2841
533,9927,2458
534,4590,165
535,4677,240
536,2602,2368
537,5104,1539
538,9585,2583
539,9077,828
540,8024,1803
541,3611,1317
542,7108,388
543,3915,3179
544,5406,2147
545,7072,1556
546,1718,3056
547,8347,3189
548,7516,2973
549,9645,2757
550,1469,247
551,6922,2058
552,2729,95
553,1854,2453
554,4800,178
555,2552,3336
556,2700,2595
557,644,148
558,2340,1597
559,7389,1641
560,156,1950
561,8179,3449
562,8892,2523
563,2852,1394
564,802,789
565,5257,2854
566,8829,2477
567,1424,2196
568,5690,854
569,2306,1705
570,5606,2891
571,8313,1914
572,1936,2129
573,338,49
574,1733,170
575,7512,231
576,899,2602
577,1581,2237
578,6395,436
579,8855,1869
580,4771,3392
581,3660,859
582,207,178
583,2972,804
584,5979,3504
585,3413,3374
586,7001,3470
587,7626,873
588,8526,1758
589,1755,1350
590,8788,1820
591,2039,1669
592,7106,985
593,4315,482
594,419,3113
595,284,2469
596,9812,282
597,8212,2486
598,9206,2263
599,6192,1193
600,2898,249
601,4813,3356
602,3019,1890
603,5341,1025
604,2884,2642
605,4121,2092
606,4610,382
607,4342,1753
608,3346,904
609,2967,554
610,1378,2401
611,1942,2021
612,8488,2364
613,1187,3412
614,639,2372
615,6216,3297
616,8857,999
617,3560,1817
618,1090,1276
619,2182,402
620,9081,2082
621,7307,3577
622,3939,397
623,3271,671
624,3937,1148
625,1373,1169
626,8473,2769
627,1041,402
628,1110,2453
629,7573,1874
630,4131,148
631,4279,1084
632,6126,2740
633,940,2577
634,2964,2068
635,5243,1130
636,2641,392
637,9281,1681
638,8431,2697
639,2410,2441
640,9519,1219
641,4577,1197
642,8296,834
643,8693,234
644,7038,397
645,7672,635
646,6857,3125
647,5141,1264
648,620,407
649,4278,3108
650,6357,602
651,2913,1578
652,9682,2455
653,2042,2631
654,3435,2248
655,662,1547
656,3837,2917
657,5256,1011
658,9961,1077
659,7937,1067
660,979,921
661,2274,959
662,568,1965
